sensor,ts_ns,x,y,z,w
gyr,927623968943984,-0.039095376,-0.13194689,0.040317107,0.0
acc,927623970944609,-0.08619126,1.3455414,9.406818,0.0
rotVec,927623970944609,0.01430847,-0.069440335,-0.99623567,0.049879745
linAcc,927623970944609,0.12545472,-0.025284052,-0.30124187,0.0
gyr,927623970944609,-0.047036625,-0.12889257,0.03970624,0.0
acc,927623972934088,-0.095768064,1.3455414,9.421184,0.0
gyr,927623972944960,-0.05375614,-0.12034045,0.03604105,0.0
acc,927623974945273,-0.110133275,1.3575124,9.44752,0.0
gyr,927623974945273,-0.058643065,-0.118507855,0.03481932,0.0
acc,927623976932603,-0.12928689,1.3503298,9.481039,0.0
gyr,927623976945507,-0.06414085,-0.11362094,0.037873644,0.0
acc,927623978945664,-0.1340753,1.3503298,9.500193,0.0
rotVec,927623978945664,0.013807358,-0.069243684,-0.99625045,0.0499974
linAcc,927623978945664,0.067815825,-0.016214967,-0.20867825,0.0
gyr,927623978945664,-0.06536258,-0.11301007,0.037873644,0.0
acc,927623980945039,-0.1340753,1.3503298,9.536105,0.0
gyr,927623980945039,-0.06963864,-0.11056661,0.035430185,0.0
acc,927623982945429,-0.12689269,1.3383588,9.560047,0.0
gyr,927623982945429,-0.06963864,-0.10323623,0.034208454,0.0
acc,927623984934244,-0.11252748,1.3383588,9.579201,0.0
gyr,927623984945117,-0.07086037,-0.0983493,0.03604105,0.0
acc,927623986945468,-0.110133275,1.3479356,9.61272,0.0
rotVec,927623986945468,0.013361216,-0.06940664,-0.9961463,0.051931493
linAcc,927623986945468,0.08022037,-0.021720886,-0.09594631,0.0
gyr,927623986945468,-0.07269296,-0.092240654,0.03604105,0.0
acc,927623988931510,-0.11252748,1.328782,9.624691,0.0
gyr,927623988945351,-0.06963864,-0.08674286,0.036651913,0.0
acc,927623990945859,-0.12449849,1.3192052,9.651027,0.0
gyr,927623990945859,-0.070249505,-0.07880162,0.037873644,0.0
acc,927623992945703,-0.12689269,1.3215994,9.679757,0.0
gyr,927623992945703,-0.06719518,-0.06963864,0.03848451,0.0
acc,927623994946054,-0.12928689,1.3215994,9.689334,0.0
rotVec,927623994946054,0.013010151,-0.0691469,-0.9961622,0.052060977
linAcc,927623994946054,0.054300755,-0.04267931,-0.02021885,0.0
gyr,927623994946054,-0.065973446,-0.06291912,0.03726278,0.0
acc,927623996928775,-0.12689269,1.3192052,9.691729,0.0
gyr,927623996946484,-0.06291912,-0.05497787,0.03970624,0.0
acc,927623998946718,-0.12449849,1.3144168,9.698911,0.0
gyr,927623998946718,-0.059253927,-0.04642576,0.039095376,0.0
acc,927624000946406,-0.11492168,1.3192052,9.703699,0.0
gyr,927624000946406,-0.0580322,-0.03970624,0.040317107,0.0
acc,927624002946523,-0.11252748,1.3120226,9.6845455,0.0
rotVec,927624002946523,0.012832301,-0.068905175,-0.99613625,0.05291491
linAcc,927624002946523,0.06667157,-0.047531486,-0.025753021,0.0
gyr,927624002946523,-0.056199603,-0.03359759,0.0421497,0.0
acc,927624004930377,-0.11492168,1.3000516,9.672575,0.0
gyr,927624004946835,-0.056199603,-0.029932396,0.042760566,0.0
acc,927624006947656,-0.11971009,1.2952632,9.667787,0.0
gyr,927624006947656,-0.05375614,-0.02321288,0.04337143,0.0
acc,927624008939713,-0.12689269,1.283292,9.653421,0.0
gyr,927624008947460,-0.052534413,-0.014660766,0.04642576,0.0
acc,927624010947539,-0.1316811,1.2737153,9.643845,0.0
rotVec,927624010947539,0.012281797,-0.06840241,-0.9961674,0.05311171
linAcc,927624010947539,0.037027746,-0.07553387,-0.068078995,0.0
gyr,927624010947539,-0.05131268,-0.01038471,0.04642576,0.0
acc,927624012934088,-0.1412579,1.2617443,9.643845,0.0
gyr,927624012947109,-0.05375614,-0.0018325958,0.047036625,0.0
acc,927624014946601,-0.14844051,1.2473791,9.634268,0.0
gyr,927624014946601,-0.056199603,0.007941248,0.047647487,0.0
acc,927624016924205,-0.16280572,1.2401965,9.634268,0.0
gyr,927624016946875,-0.058643065,0.014049901,0.045814894,0.0
acc,927624018946835,-0.17477672,1.2473791,9.646238,0.0
rotVec,927624018946835,0.012267067,-0.06818513,-0.99617237,0.053301267
linAcc,927624018946835,-0.006381616,-0.097661614,-0.06627369,0.0
gyr,927624018946835,-0.064751714,0.022602014,0.047036625,0.0
acc,927624020947773,-0.17956513,1.2449849,9.648633,0.0
gyr,927624020947773,-0.064751714,0.02687807,0.048258353,0.0
acc,927624022947070,-0.18435353,1.2449849,9.660604,0.0
gyr,927624022947070,-0.069027774,0.032375857,0.04642576,0.0
acc,927624024946679,-0.18195933,1.2497733,9.6845455,0.0
gyr,927624024946679,-0.07147124,0.039095376,0.045814894,0.0
acc,927624026945859,-0.17238252,1.2449849,9.701305,0.0
rotVec,927624026945859,0.012080805,-0.067201026,-0.9963775,0.05069416
linAcc,927624026945859,-0.0031130165,-0.080286145,-0.01390934,0.0
gyr,927624026945859,-0.07513642,0.04153884,0.044593163,0.0
acc,927624028931002,-0.17238252,1.2425907,9.742006,0.0
gyr,927624028945781,-0.07819075,0.043982297,0.042760566,0.0
acc,927624030946445,-0.18914193,1.2378023,9.7803135,0.0
gyr,927624030946445,-0.080634214,0.048258353,0.0421497,0.0
acc,927624032929010,-0.19632454,1.2497733,9.811439,0.0
gyr,927624032946718,-0.077579886,0.049480084,0.04153884,0.0
acc,927624034947773,-0.20350714,1.2497733,9.835381,0.0
rotVec,927624034947773,0.012236116,-0.066883385,-0.99638754,0.050880656
linAcc,927624034947773,-0.031128913,-0.06950259,0.11940479,0.0
gyr,927624034947773,-0.08002335,0.048258353,0.040317107,0.0
acc,927624036942408,-0.21308395,1.2497733,9.866506,0.0
gyr,927624036947460,-0.07880162,0.047036625,0.03848451,0.0
acc,927624038947734,-0.22744916,1.2449849,9.883265,0.0
gyr,927624038947734,-0.076358154,0.042760566,0.039095376,0.0
acc,927624040948242,-0.22744916,1.2473791,9.902418,0.0
gyr,927624040948242,-0.07086037,0.04153884,0.03848451,0.0
acc,927624042949140,-0.23702596,1.2473791,9.931149,0.0
rotVec,927624042949140,0.012599201,-0.065940104,-0.99647325,0.050341215
linAcc,927624042949140,-0.05589199,-0.05380273,0.21289253,0.0
gyr,927624042949140,-0.06841691,0.039095376,0.03848451,0.0
acc,927624044937877,-0.22505496,1.2401965,9.94312,0.0
gyr,927624044949921,-0.06536258,0.036651913,0.039095376,0.0
acc,927624046950976,-0.22505496,1.2497733,9.959879,0.0
gyr,927624046950976,-0.061086524,0.029932396,0.039095376,0.0
acc,927624048952226,-0.22505496,1.2497733,9.974244,0.0
gyr,927624048952226,-0.054367006,0.029321533,0.039095376,0.0
acc,927624050953789,-0.21547815,1.2449849,9.976639,0.0
rotVec,927624050953789,0.012710963,-0.065686785,-0.9964801,0.050508562
linAcc,927624050953789,-0.032123685,-0.05140686,0.2577839,0.0
gyr,927624050953789,-0.04886922,0.022602014,0.03848451,0.0
acc,927624052940885,-0.19153613,1.2449849,9.983821,0.0
gyr,927624052955507,-0.039095376,0.02076942,0.03848451,0.0
acc,927624054955937,-0.19153613,1.2330139,9.981427,0.0
gyr,927624054955937,-0.034208454,0.015271631,0.03848451,0.0
acc,927624056948385,-0.20111294,1.2162545,9.981427,0.0
gyr,927624056955703,-0.026267206,0.008552114,0.037873644,0.0
acc,927624058956562,-0.20829555,1.2018893,9.962274,0.0
rotVec,927624058956562,0.012880557,-0.06452538,-0.9965466,0.050650187
linAcc,927624058956562,-0.020638376,-0.0720917,0.24053764,0.0
gyr,927624058956562,-0.02076942,0.004886922,0.03970624,0.0
acc,927624060957226,-0.21787235,1.1923125,9.959879,0.0
gyr,927624060957226,-0.014049901,0.0036651916,0.040317107,0.0
acc,927624062957343,-0.24660277,1.1803415,9.945514,0.0
gyr,927624062957343,-0.009162978,6.1086525E-4,0.03970624,0.0
acc,927624064949830,-0.25857377,1.1827357,9.921572,0.0
gyr,927624064958007,-0.0036651916,-0.0030543262,0.0421497,0.0
acc,927624066958593,-0.2657564,1.1779473,9.900024,0.0
rotVec,927624066958593,0.013434255,-0.06368165,-0.99651617,0.05215056
linAcc,927624066958593,-0.06832072,-0.0804497,0.17645264,0.0
gyr,927624066958593,0.0030543262,-0.0018325958,0.04520403,0.0
acc,927624068958632,-0.25139117,1.1899183,9.878476,0.0
gyr,927624068958632,0.007330383,-0.0018325958,0.044593163,0.0
acc,927624070959570,-0.22984336,1.1923125,9.844957,0.0
gyr,927624070959570,0.01160644,-0.0018325958,0.044593163,0.0
acc,927624072960351,-0.21068975,1.1851299,9.82341,0.0
gyr,927624072960351,0.015271631,-0.0012217305,0.044593163,0.0
acc,927624074962031,-0.18435353,1.1875241,9.797073,0.0
rotVec,927624074962031,0.013325154,-0.06315779,-0.9965416,0.052328333
linAcc,927624074962031,0.011272043,-0.060600758,0.07214069,0.0
gyr,927624074962031,0.017715093,-0.002443461,0.042760566,0.0
acc,927624076951041,-0.17238252,1.1827357,9.770737,0.0
gyr,927624076961796,0.018325957,-0.002443461,0.0421497,0.0
acc,927624078962578,-0.17717093,1.1899183,9.746795,0.0
gyr,927624078962578,0.02076942,-0.0030543262,0.0421497,0.0
acc,927624080963164,-0.18674773,1.2042835,9.734824,0.0
gyr,927624080963164,0.02076942,-0.0061086523,0.040927973,0.0
acc,927624082964335,-0.19153613,1.2018893,9.737218,0.0
rotVec,927624082964335,0.012999545,-0.06330151,-0.99676967,0.047688615
linAcc,927624082964335,0.003396377,-0.047810555,0.01247406,0.0
gyr,927624082964335,0.019547688,-0.005497787,0.040927973,0.0
acc,927624084946275,-0.21068975,1.2042835,9.737218,0.0
gyr,927624084965390,0.020158553,-0.009162978,0.040927973,0.0
acc,927624086966328,-0.22505496,1.2090719,9.7324295,0.0
gyr,927624086966328,0.018325957,-0.009162978,0.037873644,0.0
acc,927624088948306,-0.23942018,1.2138603,9.7324295,0.0
gyr,927624088967187,0.018936822,-0.005497787,0.03970624,0.0
acc,927624090967382,-0.24899697,1.2066777,9.7324295,0.0
rotVec,927624090967382,0.013332378,-0.06266262,-0.99679965,0.047813993
linAcc,927624090967382,-0.04710628,-0.030912757,0.0062789917,0.0
gyr,927624090967382,0.017104227,-0.0030543262,0.03970624,0.0
acc,927624092960728,-0.260968,1.1875241,9.730036,0.0
gyr,927624092967812,0.016493361,0.002443461,0.03970624,0.0
acc,927624094967343,-0.260968,1.1731589,9.725247,0.0
gyr,927624094967343,0.017104227,0.005497787,0.03970624,0.0
acc,927624096958345,-0.2657564,1.1683705,9.715671,0.0
gyr,927624096967773,0.015882496,0.009162978,0.040927973,0.0
acc,927624098968007,-0.28491,1.1468226,9.691729,0.0
rotVec,927624098968007,0.013863257,-0.06206859,-0.99682385,0.04793346
linAcc,927624098968007,-0.07222213,-0.07971406,-0.035591125,0.0
gyr,927624098968007,0.01282817,0.014049901,0.04153884,0.0
acc,927624100966875,-0.29209262,1.1252748,9.6845455,0.0
gyr,927624100966875,0.015882496,0.018325957,0.04337143,0.0
acc,927624102966445,-0.29448682,1.115698,9.682152,0.0
gyr,927624102966445,0.014049901,0.020158553,0.043982297,0.0
acc,927624104952681,-0.2873042,1.0941502,9.682152,0.0
gyr,927624104965898,0.01160644,0.020158553,0.04520403,0.0
acc,927624106965742,-0.2705448,1.0869676,9.679757,0.0
rotVec,927624106965742,0.014069667,-0.06121596,-0.9969885,0.045482717
linAcc,927624106965742,-0.050031915,-0.12261474,-0.04951191,0.0
gyr,927624106965742,0.009773844,0.02076942,0.044593163,0.0
acc,927624108955845,-0.2681506,1.0821792,9.677363,0.0
gyr,927624108965351,0.007941248,0.02076942,0.044593163,0.0
acc,927624110965742,-0.25139117,1.0773908,9.6845455,0.0
gyr,927624110965742,0.0067195175,0.02321288,0.043982297,0.0
acc,927624112955142,-0.24660277,1.0821792,9.682152,0.0
gyr,927624112965312,0.002443461,0.02321288,0.0421497,0.0
acc,927624114965664,-0.25857377,1.0989386,9.68694,0.0
rotVec,927624114965664,0.014311782,-0.060508303,-0.99702084,0.045644008
linAcc,927624114965664,-0.03287758,-0.09710574,-0.043883324,0.0
gyr,927624114965664,0.0,0.02443461,0.040317107,0.0
acc,927624116953345,-0.2705448,1.115698,9.698911,0.0
gyr,927624116965429,-0.002443461,0.02321288,0.037873644,0.0
acc,927624118965976,-0.29209262,1.1252748,9.720459,0.0
gyr,927624118965976,-0.0067195175,0.02321288,0.037873644,0.0
acc,927624120966171,-0.30885202,1.1300632,9.744401,0.0
gyr,927624120966171,-0.0067195175,0.021991149,0.037873644,0.0
acc,927624122966250,-0.3184288,1.1444284,9.7563715,0.0
rotVec,927624122966250,0.015182368,-0.06001339,-0.996842,0.049738273
linAcc,927624122966250,-0.08013779,-0.043726087,0.024881363,0.0
gyr,927624122966250,-0.009773844,0.022602014,0.03604105,0.0
acc,927624124965703,-0.320823,1.1420342,9.758766,0.0
gyr,927624124965703,-0.007330383,0.020158553,0.03848451,0.0
acc,927624126964960,-0.32800564,1.1420342,9.768343,0.0
gyr,927624126964960,-0.008552114,0.018325957,0.03726278,0.0
acc,927624128961314,-0.31603462,1.1540052,9.782708,0.0
gyr,927624128964960,-0.007330383,0.014660766,0.03604105,0.0
acc,927624130964531,-0.30406362,1.1563994,9.787497,0.0
rotVec,927624130964531,0.015247354,-0.059978995,-0.9968355,0.049890656
linAcc,927624130964531,-0.064649716,-0.031183839,0.05596447,0.0
gyr,927624130964531,-0.008552114,0.007941248,0.036651913,0.0
acc,927624132957994,-0.2896984,1.151611,9.787497,0.0
gyr,927624132964101,-0.004886922,0.0030543262,0.03604105,0.0
acc,927624134963710,-0.28491,1.1563994,9.78989,0.0
gyr,927624134963710,-0.005497787,-0.0030543262,0.032986723,0.0
acc,927624136960299,-0.272939,1.1492168,9.792285,0.0
gyr,927624136964375,-0.004276057,-0.0067195175,0.03176499,0.0
acc,927624138965234,-0.272939,1.1540052,9.787497,0.0
rotVec,927624138965234,0.015769096,-0.059484728,-0.99685204,0.049990077
linAcc,927624138965234,-0.022951618,-0.024475098,0.055124283,0.0
gyr,927624138965234,-0.004276057,-0.014660766,0.029321533,0.0
acc,927624140965585,-0.2753332,1.1683705,9.768343,0.0
gyr,927624140965585,-0.0012217305,-0.017104227,0.030543262,0.0
acc,927624142965546,-0.2801216,1.1683705,9.76116,0.0
gyr,927624142965546,-0.0030543262,-0.02321288,0.03176499,0.0
acc,927624144956822,-0.2896984,1.1707647,9.749189,0.0
gyr,927624144964804,-0.0030543262,-0.02321288,0.032375857,0.0
acc,927624146965664,-0.30406362,1.1683705,9.734824,0.0
rotVec,927624146965664,0.015554909,-0.0595127,-0.9969535,0.047959715
linAcc,927624146965664,-0.055890486,-0.009945631,0.0023851395,0.0
gyr,927624146965664,-6.1086525E-4,-0.026267206,0.031154128,0.0
acc,927624148961744,-0.29448682,1.1659763,9.730036,0.0
gyr,927624148965845,-0.004886922,-0.028710667,0.034208454,0.0
acc,927624150965976,-0.2873042,1.151611,9.734824,0.0
gyr,927624150965976,-0.004886922,-0.03176499,0.034208454,0.0
acc,927624152965078,-0.2705448,1.1468226,9.727641,0.0
gyr,927624152965078,-0.004886922,-0.032986723,0.034208454,0.0
acc,927624154964804,-0.23702596,1.1444284,9.722853,0.0
rotVec,927624154964804,0.015719242,-0.059322916,-0.9969571,0.048066277
linAcc,927624154964804,0.014416143,-0.030368567,-0.00992775,0.0
gyr,927624154964804,-0.004886922,-0.032986723,0.03604105,0.0
acc,927624156953345,-0.22505496,1.151611,9.722853,0.0
gyr,927624156964453,-0.0067195175,-0.03726278,0.03726278,0.0
acc,927624158965195,-0.21068975,1.1444284,9.727641,0.0
gyr,927624158965195,-0.0061086523,-0.03970624,0.036651913,0.0
acc,927624160965585,-0.20829555,1.1420342,9.727641,0.0
gyr,927624160965585,-0.0061086523,-0.036651913,0.03604105,0.0
acc,927624162965742,-0.21068975,1.127669,9.730036,0.0
rotVec,927624162965742,0.015737552,-0.059262495,-0.99680775,0.05113419
linAcc,927624162965742,0.037555307,-0.046736956,-0.0028743744,0.0
gyr,927624162965742,-0.007941248,-0.039095376,0.03481932,0.0
acc,927624164964882,-0.21547815,1.1300632,9.727641,0.0
gyr,927624164964882,-0.005497787,-0.039095376,0.032986723,0.0
acc,927624166965273,-0.22744916,1.127669,9.722853,0.0
gyr,927624166965273,-0.007941248,-0.040927973,0.03359759,0.0
acc,927624168965156,-0.23702596,1.1420342,9.718064,0.0
gyr,927624168965156,-0.0067195175,-0.035430185,0.03176499,0.0
acc,927624170964101,-0.23463176,1.13964,9.7084875,0.0
rotVec,927624170964101,0.015634375,-0.05882672,-0.9968292,0.05124935
linAcc,927624170964101,0.011906847,-0.026202917,-0.025494576,0.0
gyr,927624170964101,-0.007941248,-0.036651913,0.03359759,0.0
acc,927624172956510,-0.24899697,1.1468226,9.718064,0.0
gyr,927624172963789,-0.0061086523,-0.03481932,0.034208454,0.0
acc,927624174963203,-0.25617957,1.1444284,9.722853,0.0
gyr,927624174963203,-0.01038471,-0.037873644,0.03359759,0.0
acc,927624176955103,-0.25378537,1.1348516,9.742006,0.0
gyr,927624176963476,-0.008552114,-0.03726278,0.034208454,0.0
acc,927624178963476,-0.24660277,1.1420342,9.753978,0.0
rotVec,927624178963476,0.015478596,-0.058803473,-0.9968265,0.051376395
linAcc,927624178963476,-0.0032337904,-0.023233056,0.019845963,0.0
gyr,927624178963476,-0.0061086523,-0.037873644,0.032375857,0.0
acc,927624180963085,-0.24420857,1.13964,9.758766,0.0
gyr,927624180963085,-0.0036651916,-0.039095376,0.03176499,0.0
acc,927624182962382,-0.23223756,1.1372458,9.782708,0.0
gyr,927624182962382,-0.004886922,-0.04153884,0.029932396,0.0
acc,927624184955845,-0.22984336,1.1492168,9.782708,0.0
gyr,927624184961640,-0.0018325958,-0.04337143,0.027488936,0.0
acc,927624186960781,-0.22744916,1.1468226,9.77792,0.0
rotVec,927624186960781,0.015227425,-0.05881848,-0.9968944,0.05010084
linAcc,927624186960781,0.012485817,-0.018182397,0.043671608,0.0
gyr,927624186960781,-0.004886922,-0.044593163,0.028099801,0.0
acc,927624188959648,-0.23223756,1.1444284,9.770737,0.0
gyr,927624188959648,-0.0012217305,-0.047036625,0.026267206,0.0
acc,927624190958320,-0.23463176,1.1444284,9.758766,0.0
gyr,927624190958320,6.1086525E-4,-0.05009095,0.02565634,0.0
acc,927624192942330,-0.23942018,1.1372458,9.770737,0.0
gyr,927624192957929,0.0030543262,-0.052534413,0.026267206,0.0
acc,927624194956992,-0.24899697,1.1324574,9.773131,0.0
rotVec,927624194956992,0.015028622,-0.058825888,-0.9968923,0.050195284
linAcc,927624194956992,-0.013065949,-0.03252244,0.038783073,0.0
gyr,927624194956992,0.004886922,-0.053145275,0.02321288,0.0
acc,927624196955703,-0.24899697,1.127669,9.7803135,0.0
gyr,927624196955703,0.008552114,-0.05375614,0.02321288,0.0
acc,927624198954492,-0.24420857,1.127669,9.77792,0.0
gyr,927624198954492,0.007941248,-0.056199603,0.021991149,0.0
acc,927624200953945,-0.23463176,1.1300632,9.773131,0.0
gyr,927624200953945,0.007941248,-0.06047566,0.018936822,0.0
acc,927624202954296,-0.23463176,1.1252748,9.765948,0.0
rotVec,927624202954296,0.014653787,-0.058901925,-0.9970152,0.047715783
linAcc,927624202954296,-0.0032046884,-0.04025209,0.031557083,0.0
gyr,927624202954296,0.01038471,-0.06169739,0.018325957,0.0
acc,927624204953359,-0.24420857,1.1372458,9.782708,0.0
gyr,927624204953359,0.012217305,-0.065973446,0.016493361,0.0
acc,927624206952148,-0.24660277,1.1420342,9.787497,0.0
gyr,927624206952148,0.01038471,-0.06963864,0.016493361,0.0
acc,927624208942056,-0.25857377,1.1348516,9.792285,0.0
gyr,927624208950937,0.013439035,-0.070249505,0.013439035,0.0
acc,927624210950781,-0.2681506,1.1348516,9.801862,0.0
rotVec,927624210950781,0.014391886,-0.058955252,-0.9970135,0.047763426
linAcc,927624210950781,-0.04195042,-0.031484485,0.0674448,0.0
gyr,927624210950781,0.014660766,-0.07391469,0.015882496,0.0
acc,927624212940650,-0.2753332,1.1228806,9.818622,0.0
gyr,927624212950078,0.019547688,-0.07391469,0.014660766,0.0
