[02:41:50] ============================================================
[02:41:50] TLIO ResNet1D  (ResMLP128 과 동일 환경)
[02:41:50] 출력: out_resnet_small
[02:41:50] 디바이스: cuda
[02:41:50] 데이터셋 로딩... (Oxford + TLIO golden 증강)
[02:42:19] Train samples: 1,309,769 | Val samples: 45,112
[02:42:19] ResNet1D (small) 파라미터 수: 460,490
[02:42:19] [two-stage] Stage 1: MSE (epoch 1~30)
[02:42:21] 총 100 epoch
[02:43:16]   Epoch 001 [3700/10232]  reg=0.1214  rmse=0.6115
[02:43:16]   Epoch 001 [3750/10232]  reg=0.1079  rmse=0.6110
[02:43:17]   Epoch 001 [3800/10232]  reg=0.0978  rmse=0.6106
[02:43:17]   Epoch 001 [3850/10232]  reg=0.1636  rmse=0.6103
[02:43:18]   Epoch 001 [3900/10232]  reg=0.1400  rmse=0.6099
[02:43:18]   Epoch 001 [3950/10232]  reg=0.1327  rmse=0.6096
[02:43:19]   Epoch 001 [4000/10232]  reg=0.0916  rmse=0.6090
[02:43:20]   Epoch 001 [4050/10232]  reg=0.1158  rmse=0.6085
[02:43:20]   Epoch 001 [4100/10232]  reg=0.1120  rmse=0.6088
[02:43:21]   Epoch 001 [4150/10232]  reg=0.1060  rmse=0.6084
[02:43:21]   Epoch 001 [4200/10232]  reg=0.0921  rmse=0.6082
[02:43:22]   Epoch 001 [4250/10232]  reg=0.0863  rmse=0.6077
[02:43:22]   Epoch 001 [4300/10232]  reg=0.0990  rmse=0.6072
[02:43:23]   Epoch 001 [4350/10232]  reg=0.0636  rmse=0.6067
[02:43:23]   Epoch 001 [4400/10232]  reg=0.1360  rmse=0.6062
[02:43:24]   Epoch 001 [4450/10232]  reg=0.0791  rmse=0.6058
[02:43:25]   Epoch 001 [4500/10232]  reg=0.1163  rmse=0.6054
[02:43:25]   Epoch 001 [4550/10232]  reg=0.0868  rmse=0.6050
[02:43:26]   Epoch 001 [4600/10232]  reg=0.0875  rmse=0.6047
[02:43:26]   Epoch 001 [4650/10232]  reg=0.1215  rmse=0.6043
[02:43:27]   Epoch 001 [4700/10232]  reg=0.0839  rmse=0.6040
[02:43:27]   Epoch 001 [4750/10232]  reg=0.1393  rmse=0.6036
[02:43:28]   Epoch 001 [4800/10232]  reg=0.0949  rmse=0.6031
[02:43:29]   Epoch 001 [4850/10232]  reg=0.0971  rmse=0.6028
[02:43:29]   Epoch 001 [4900/10232]  reg=0.1196  rmse=0.6024
[02:43:30]   Epoch 001 [4950/10232]  reg=0.0912  rmse=0.6020
[02:43:30]   Epoch 001 [5000/10232]  reg=0.1665  rmse=0.6016
[02:43:31]   Epoch 001 [5050/10232]  reg=0.1044  rmse=0.6014
[02:43:31]   Epoch 001 [5100/10232]  reg=0.1027  rmse=0.6009
[02:43:32]   Epoch 001 [5150/10232]  reg=0.0893  rmse=0.6007
[02:43:32]   Epoch 001 [5200/10232]  reg=0.0736  rmse=0.6002
[02:43:33]   Epoch 001 [5250/10232]  reg=0.0876  rmse=0.5999
